week,home,away,home_pts,away_pts,home_best,away_best
1,nicog01,GlenM22,99.50,71.50,,
1,austinclifton,KingAbes,80.50,107.50,,
1,treyclif3,officialmaje,79.75,76.00,,
1,nictrn,BottomCap,118.25,111.25,,
2,nicog01,nictrn,76.50,97.25,,
2,austinclifton,officialmaje,106.00,98.25,,
2,treyclif3,GlenM22,103.25,95.00,,
2,BottomCap,KingAbes,157.50,131.25,,
3,nicog01,KingAbes,62.25,103.75,,
3,austinclifton,treyclif3,96.00,101.75,,
3,GlenM22,nictrn,96.25,92.50,,
3,officialmaje,BottomCap,96.75,91.50,,
4,nicog01,officialmaje,81.00,107.75,,
4,austinclifton,BottomCap,166.50,94.00,,
4,treyclif3,nictrn,136.75,78.50,,
4,GlenM22,KingAbes,90.75,78.25,,
5,nicog01,austinclifton,104.25,105.00,,
5,treyclif3,BottomCap,119.50,106.75,,
5,GlenM22,officialmaje,122.50,72.25,,
5,nictrn,KingAbes,91.25,88.25,,
